Date,Cases
01/05/2021,1118
01/06/2021,4309
01/07/2021,23476
01/08/2021,18028
02/05/2021,1207
02/06/2021,4893
02/07/2021,21596
02/08/2021,25665
03/05/2021,1687
03/06/2021,4953
03/07/2021,20116
03/08/2021,26160
04/05/2021,2010
04/06/2021,4717
04/07/2021,21256
04/08/2021,27897
05/05/2021,2009
05/06/2021,3834
05/07/2021,29395
05/08/2021,27185
06/05/2021,1782
06/06/2021,4596
06/07/2021,30786
06/08/2021,23822
07/05/2021,1528
07/06/2021,6543
07/07/2021,33315
07/08/2021,18410
08/05/2021,1188
08/06/2021,6390
08/07/2021,29064
09/05/2021,1839
09/06/2021,6674
09/07/2021,28315
10/05/2021,2157
10/06/2021,6493
10/07/2021,24798
11/05/2021,1734
11/06/2021,6293
11/07/2021,26827
12/05/2021,1750
12/06/2021,5235
12/07/2021,39425
13/05/2021,1640
13/06/2021,5885
13/07/2021,42060
14/05/2021,1450
14/06/2021,8646
14/07/2021,49005
15/05/2021,1252
15/06/2021,8785
15/07/2021,56026
16/05/2021,1511
16/06/2021,9110
16/07/2021,49866
17/05/2021,2237
17/06/2021,9119
17/07/2021,34472
18/05/2021,2122
18/06/2021,8446
18/07/2021,32349
19/05/2021,2166
19/06/2021,6913
19/07/2021,42204
20/05/2021,1898
20/06/2021,7975
20/07/2021,34884
21/05/2021,1786
21/06/2021,12315
21/07/2021,30792
22/05/2021,1521
22/06/2021,13134
22/07/2021,26886
23/05/2021,1834
23/06/2021,14316
23/07/2021,23783
24/05/2021,2603
24/06/2021,14610
24/07/2021,19685
25/05/2021,2673
25/06/2021,14353
25/07/2021,19091
26/05/2021,3044
26/06/2021,13111
26/07/2021,25622
27/05/2021,2940
27/06/2021,14953
27/07/2021,25179
28/05/2021,2813
28/06/2021,22747
28/07/2021,26108
29/05/2021,2378
29/06/2021,22475
29/07/2021,24548
30/05/2021,2530
30/06/2021,23249
30/07/2021,21373
31/05/2021,3051
31/07/2021,17856
