Date,Country,Cases,Pop
2021-05-01,England,1118,562230000
2021-05-02,England,1207,562230000
2021-05-03,England,1687,562230000
2021-05-04,England,2010,562230000
2021-05-05,England,2009,562230000
2021-05-06,England,1782,562230000
2021-05-07,England,1528,562230000
2021-05-08,England,1188,562230000
2021-05-09,England,1839,562230000
2021-05-10,England,2157,562230000
2021-05-11,England,1734,562230000
2021-05-12,England,1750,562230000
2021-05-13,England,1640,562230000
2021-05-14,England,1450,562230000
2021-05-15,England,1252,562230000
2021-05-16,England,1511,562230000
2021-05-17,England,2237,562230000
2021-05-18,England,2122,562230000
2021-05-19,England,2166,562230000
2021-05-20,England,1898,562230000
2021-05-21,England,1786,562230000
2021-05-22,England,1521,562230000
2021-05-23,England,1834,562230000
2021-05-24,England,2603,562230000
2021-05-25,England,2673,562230000
2021-05-26,England,3044,562230000
2021-05-27,England,2940,562230000
2021-05-28,England,2813,562230000
2021-05-29,England,2378,562230000
2021-05-30,England,2530,562230000
2021-05-31,England,3051,562230000
2021-06-01,England,4309,562230000
2021-06-02,England,4893,562230000
2021-06-03,England,4953,562230000
2021-06-04,England,4717,562230000
2021-06-05,England,3834,562230000
2021-06-06,England,4596,562230000
2021-06-07,England,6543,562230000
2021-06-08,England,6390,562230000
2021-06-09,England,6674,562230000
2021-06-10,England,6493,562230000
2021-06-11,England,6293,562230000
2021-06-12,England,5235,562230000
2021-06-13,England,5885,562230000
2021-06-14,England,8646,562230000
2021-06-15,England,8785,562230000
2021-06-16,England,9110,562230000
2021-06-17,England,9119,562230000
2021-06-18,England,8446,562230000
2021-06-19,England,6913,562230000
2021-06-20,England,7975,562230000
2021-06-21,England,12315,562230000
2021-06-22,England,13134,562230000
2021-06-23,England,14316,562230000
2021-06-24,England,14610,562230000
2021-06-25,England,14353,562230000
2021-06-26,England,13111,562230000
2021-06-27,England,14953,562230000
2021-06-28,England,22747,562230000
2021-06-29,England,22475,562230000
2021-06-30,England,23249,562230000
2021-07-01,England,23476,562230000
2021-07-02,England,21596,562230000
2021-07-03,England,20116,562230000
2021-07-04,England,21256,562230000
2021-07-05,England,29395,562230000
2021-07-06,England,30786,562230000
2021-07-07,England,33315,562230000
2021-07-08,England,29064,562230000
2021-07-09,England,28315,562230000
2021-07-10,England,24798,562230000
2021-07-11,England,26827,562230000
2021-07-12,England,39425,562230000
2021-07-13,England,42060,562230000
2021-07-14,England,49005,562230000
2021-07-15,England,56026,562230000
2021-07-16,England,49866,562230000
2021-07-17,England,34472,562230000
2021-07-18,England,32349,562230000
2021-07-19,England,42204,562230000
2021-07-20,England,34884,562230000
2021-07-21,England,30792,562230000
2021-07-22,England,26886,562230000
2021-07-23,England,23783,562230000
2021-07-24,England,19685,562230000
2021-07-25,England,19091,562230000
2021-07-26,England,25622,562230000
2021-07-27,England,25179,562230000
2021-07-28,England,26108,562230000
2021-07-29,England,24548,562230000
2021-07-30,England,21373,562230000
2021-07-31,England,17856,562230000
2021-08-01,England,18028,562230000
2021-08-02,England,25665,562230000
2021-08-03,England,26160,562230000
2021-08-04,England,27897,562230000
2021-08-05,England,27185,562230000
2021-08-06,England,23822,562230000
2021-08-07,England,18410,562230000
2021-05-01,France,3994,NA
2021-05-02,France,3559,NA
2021-05-03,France,28923,NA
2021-05-04,France,20205,NA
2021-05-05,France,17631,NA
2021-05-06,France,17143,NA
2021-05-07,France,18158,NA
2021-05-08,France,4033,NA
2021-05-09,France,2883,NA
2021-05-10,France,23852,NA
2021-05-11,France,16625,NA
2021-05-12,France,16056,NA
2021-05-13,France,3051,NA
2021-05-14,France,17408,NA
2021-05-15,France,8913,NA
2021-05-16,France,2311,NA
2021-05-17,France,19781,NA
2021-05-18,France,15495,NA
2021-05-19,France,13669,NA
2021-05-20,France,12547,NA
2021-05-21,France,12498,NA
2021-05-22,France,7790,NA
2021-05-23,France,1777,NA
2021-05-24,France,3498,NA
2021-05-25,France,16526,NA
2021-05-26,France,11861,NA
2021-05-27,France,11134,NA
2021-05-28,France,10605,NA
2021-05-29,France,6342,NA
2021-05-30,France,1492,NA
2021-05-31,France,11766,NA
2021-06-01,France,7953,NA
2021-06-02,France,7596,NA
2021-06-03,France,7005,NA
2021-06-04,France,6616,NA
2021-06-05,France,3946,NA
2021-06-06,France,899,NA
2021-06-07,France,7279,NA
2021-06-08,France,5017,NA
2021-06-09,France,4223,NA
2021-06-10,France,3820,NA
2021-06-11,France,3960,NA
2021-06-12,France,2189,NA
2021-06-13,France,505,NA
