AgeGroup,Date,Country,Female,Male,Total,Date2
0 to 14,01/05/2021,Scotland,24,24,48,2021-05-01
0 to 14,01/06/2021,Scotland,70,64,134,2021-06-01
0 to 14,01/07/2021,Scotland,187,168,355,2021-07-01
0 to 14,01/08/2021,Scotland,69,91,160,2021-08-01
0 to 14,02/05/2021,Scotland,17,12,29,2021-05-02
0 to 14,02/06/2021,Scotland,69,92,161,2021-06-02
0 to 14,02/07/2021,Scotland,232,218,450,2021-07-02
0 to 14,02/08/2021,Scotland,106,72,178,2021-08-02
0 to 14,03/05/2021,Scotland,10,12,22,2021-05-03
0 to 14,03/06/2021,Scotland,95,75,170,2021-06-03
0 to 14,03/07/2021,Scotland,186,163,349,2021-07-03
0 to 14,03/08/2021,Scotland,115,106,221,2021-08-03
0 to 14,04/05/2021,Scotland,24,19,43,2021-05-04
0 to 14,04/06/2021,Scotland,80,76,157,2021-06-04
0 to 14,04/07/2021,Scotland,189,156,346,2021-07-04
0 to 14,04/08/2021,Scotland,110,85,195,2021-08-04
0 to 14,05/05/2021,Scotland,21,22,43,2021-05-05
0 to 14,05/06/2021,Scotland,68,49,117,2021-06-05
0 to 14,05/07/2021,Scotland,221,187,408,2021-07-05
0 to 14,05/08/2021,Scotland,104,84,188,2021-08-05
0 to 14,06/05/2021,Scotland,19,19,38,2021-05-06
0 to 14,06/06/2021,Scotland,69,64,133,2021-06-06
0 to 14,06/07/2021,Scotland,197,170,368,2021-07-06
0 to 14,06/08/2021,Scotland,102,89,191,2021-08-06
0 to 14,07/05/2021,Scotland,32,16,48,2021-05-07
0 to 14,07/06/2021,Scotland,87,109,196,2021-06-07
0 to 14,07/07/2021,Scotland,169,175,344,2021-07-07
0 to 14,07/08/2021,Scotland,101,79,181,2021-08-07
0 to 14,08/05/2021,Scotland,21,10,31,2021-05-08
0 to 14,08/06/2021,Scotland,78,99,177,2021-06-08
0 to 14,08/07/2021,Scotland,206,162,369,2021-07-08
0 to 14,09/05/2021,Scotland,23,27,50,2021-05-09
0 to 14,09/06/2021,Scotland,81,101,182,2021-06-09
0 to 14,09/07/2021,Scotland,123,144,267,2021-07-09
0 to 14,10/05/2021,Scotland,37,34,71,2021-05-10
0 to 14,10/06/2021,Scotland,109,108,217,2021-06-10
0 to 14,10/07/2021,Scotland,130,116,247,2021-07-10
0 to 14,11/05/2021,Scotland,39,39,78,2021-05-11
0 to 14,11/06/2021,Scotland,91,86,177,2021-06-11
0 to 14,11/07/2021,Scotland,143,135,278,2021-07-11
0 to 14,12/05/2021,Scotland,30,44,74,2021-05-12
0 to 14,12/06/2021,Scotland,72,67,139,2021-06-12
0 to 14,12/07/2021,Scotland,184,178,362,2021-07-12
0 to 14,13/05/2021,Scotland,31,43,74,2021-05-13
0 to 14,13/06/2021,Scotland,72,88,160,2021-06-13
0 to 14,13/07/2021,Scotland,157,150,307,2021-07-13
0 to 14,14/05/2021,Scotland,35,34,69,2021-05-14
0 to 14,14/06/2021,Scotland,133,129,262,2021-06-14
0 to 14,14/07/2021,Scotland,131,152,283,2021-07-14
0 to 14,15/05/2021,Scotland,19,37,56,2021-05-15
0 to 14,15/06/2021,Scotland,111,122,233,2021-06-15
0 to 14,15/07/2021,Scotland,128,83,211,2021-07-15
0 to 14,16/05/2021,Scotland,27,19,46,2021-05-16
0 to 14,16/06/2021,Scotland,143,105,248,2021-06-16
0 to 14,16/07/2021,Scotland,133,110,243,2021-07-16
0 to 14,17/05/2021,Scotland,44,47,91,2021-05-17
0 to 14,17/06/2021,Scotland,106,122,228,2021-06-17
0 to 14,17/07/2021,Scotland,112,91,203,2021-07-17
0 to 14,18/05/2021,Scotland,57,47,104,2021-05-18
0 to 14,18/06/2021,Scotland,139,140,279,2021-06-18
0 to 14,18/07/2021,Scotland,126,113,239,2021-07-18
0 to 14,19/05/2021,Scotland,51,60,111,2021-05-19
0 to 14,19/06/2021,Scotland,113,111,224,2021-06-19
0 to 14,19/07/2021,Scotland,189,136,325,2021-07-19
0 to 14,20/05/2021,Scotland,48,55,103,2021-05-20
0 to 14,20/06/2021,Scotland,144,117,261,2021-06-20
0 to 14,20/07/2021,Scotland,154,89,243,2021-07-20
0 to 14,21/05/2021,Scotland,45,68,113,2021-05-21
0 to 14,21/06/2021,Scotland,230,236,466,2021-06-21
0 to 14,21/07/2021,Scotland,117,119,236,2021-07-21
0 to 14,22/05/2021,Scotland,42,35,77,2021-05-22
0 to 14,22/06/2021,Scotland,207,213,420,2021-06-22
0 to 14,22/07/2021,Scotland,106,85,191,2021-07-22
0 to 14,23/05/2021,Scotland,41,36,77,2021-05-23
0 to 14,23/06/2021,Scotland,170,157,327,2021-06-23
0 to 14,23/07/2021,Scotland,108,89,199,2021-07-23
0 to 14,24/05/2021,Scotland,71,70,141,2021-05-24
0 to 14,24/06/2021,Scotland,183,171,354,2021-06-24
0 to 14,24/07/2021,Scotland,84,68,152,2021-07-24
0 to 14,25/05/2021,Scotland,52,85,137,2021-05-25
0 to 14,25/06/2021,Scotland,187,170,358,2021-06-25
0 to 14,25/07/2021,Scotland,84,78,162,2021-07-25
0 to 14,26/05/2021,Scotland,60,74,134,2021-05-26
0 to 14,26/06/2021,Scotland,154,169,323,2021-06-26
0 to 14,26/07/2021,Scotland,110,124,234,2021-07-26
0 to 14,27/05/2021,Scotland,70,55,125,2021-05-27
0 to 14,27/06/2021,Scotland,186,173,359,2021-06-27
0 to 14,27/07/2021,Scotland,126,97,223,2021-07-27
0 to 14,28/05/2021,Scotland,60,58,118,2021-05-28
0 to 14,28/06/2021,Scotland,281,271,552,2021-06-28
0 to 14,28/07/2021,Scotland,95,102,197,2021-07-28
0 to 14,29/05/2021,Scotland,47,39,86,2021-05-29
0 to 14,29/06/2021,Scotland,237,240,477,2021-06-29
0 to 14,29/07/2021,Scotland,103,93,196,2021-07-29
0 to 14,30/05/2021,Scotland,48,51,99,2021-05-30
0 to 14,30/06/2021,Scotland,229,223,452,2021-06-30
0 to 14,30/07/2021,Scotland,102,76,178,2021-07-30
0 to 14,31/05/2021,Scotland,51,76,127,2021-05-31
0 to 14,31/07/2021,Scotland,56,52,108,2021-07-31
15 to 19,01/05/2021,Scotland,4,2,6,2021-05-01
15 to 19,01/06/2021,Scotland,47,30,77,2021-06-01
15 to 19,01/07/2021,Scotland,233,249,483,2021-07-01
15 to 19,01/08/2021,Scotland,47,47,95,2021-08-01
15 to 19,02/05/2021,Scotland,1,6,7,2021-05-02
15 to 19,02/06/2021,Scotland,55,58,113,2021-06-02
15 to 19,02/07/2021,Scotland,195,181,376,2021-07-02
15 to 19,02/08/2021,Scotland,90,67,157,2021-08-02
15 to 19,03/05/2021,Scotland,10,11,21,2021-05-03
15 to 19,03/06/2021,Scotland,60,56,116,2021-06-03
15 to 19,03/07/2021,Scotland,158,166,324,2021-07-03
15 to 19,03/08/2021,Scotland,76,74,150,2021-08-03
15 to 19,04/05/2021,Scotland,12,8,20,2021-05-04
15 to 19,04/06/2021,Scotland,55,39,94,2021-06-04
15 to 19,04/07/2021,Scotland,160,141,301,2021-07-04
15 to 19,04/08/2021,Scotland,87,59,146,2021-08-04
15 to 19,05/05/2021,Scotland,10,10,20,2021-05-05
15 to 19,05/06/2021,Scotland,25,32,57,2021-06-05
15 to 19,05/07/2021,Scotland,252,209,461,2021-07-05
15 to 19,05/08/2021,Scotland,67,60,127,2021-08-05
15 to 19,06/05/2021,Scotland,5,10,15,2021-05-06
15 to 19,06/06/2021,Scotland,45,34,79,2021-06-06
15 to 19,06/07/2021,Scotland,249,209,458,2021-07-06
15 to 19,06/08/2021,Scotland,73,57,130,2021-08-06
